id;nome;giorni;valore;cat
1;invoice Cotton connecting;capacitor;94584;Avon reattiva
2;Supporto;Marketing;44802;ricche
3;Administrator Assurance;program;3978;Chips indigo Pants
4;CSS;indexing National;39617;International
5;quinta cutting-edge;Group architetture Avon;31257;comunità
6;program utilizzo;Grocery;56223;Imperia reboot
7;Agrigento;open-source Quetzal;41671;Metrics index visionari
8;Creative Frozen;Kenya intangibile;23821;Account asimmetrica
9;automatizzata Intelligent;Games optical Berkshire;35221;Shoes Account
10;deposit sinergica Pants;application Cotton;46769;modelli Via
